;maxO3;T3;T9;T12;T15;Ne9;Ne12;Ne15;Vx9;Vx12;Vx15;maxO3v;vent;Humidité;pluie
0;87.0;15.0;15.6;18.5;;4.0;4.0;8.0;0.6946;-1.7101;-0.6946;84.0;Nord;;Sec
1;82.0;;;;;5.0;5.0;7.0;-4.3301;-4.0;-3.0;87.0;Nord;humide;Sec
2;92.0;;15.3;17.6;19.5;2.0;;;2.9544;;0.5209;82.0;Est;humide;
3;114.0;87.0;16.2;19.7;;1.0;1.0;0.0;;0.3473;-0.1736;92.0;Nord;humide;Sec
4;94.0;;;20.5;20.4;;;;-0.5;-2.9544;-4.3301;114.0;;humide;Sec
5;80.0;;17.7;19.8;18.3;6.0;;7.0;-5.6382;-5.0;-6.0;94.0;;humide;Pluie
6;79.0;;16.8;15.6;14.9;7.0;8.0;;-4.3301;-1.8794;-3.7588;80.0;Ouest;humide;Sec
7;79.0;;14.9;17.5;18.9;5.0;5.0;;0.0;-1.0419;-1.3892;99.0;Nord;humide;Sec
8;101.0;;16.1;19.6;21.4;2.0;;4.0;-0.766;-1.0261;-2.2981;79.0;Nord;humide;Sec
9;106.0;;18.3;;22.9;5.0;;;1.2856;-2.2981;-3.9392;101.0;Ouest;humide;Sec
10;101.0;;17.3;19.3;20.2;7.0;7.0;3.0;-1.5;-1.5;-0.8682;106.0;Nord;humide;
11;90.0;;17.6;20.3;17.4;;6.0;8.0;;-1.0419;-0.6946;101.0;Sud;humide;Sec
12;72.0;;;;;7.0;5.0;6.0;-0.8682;-2.7362;-6.8944;90.0;Sud;;Sec
13;70.0;;17.1;18.2;18.0;;7.0;;;-7.8785;-5.1962;72.0;Ouest;;Pluie
14;83.0;;15.4;;16.6;8.0;7.0;;-4.3301;-2.0521;-3.0;70.0;;;Sec
15;88.0;;;19.1;;6.0;5.0;4.0;0.5209;-2.9544;-1.0261;83.0;Ouest;;Sec
16;;;21.0;24.6;26.9;;;1.0;-0.342;;-0.684;121.0;Ouest;;Sec
17;;;;;;;;;0.0;0.3473;-2.5712;;Nord;humide;Sec
18;121.0;;19.7;24.2;26.9;2.0;1.0;0.0;;;2.0;81.0;Est;humide;Sec
19;146.0;;23.6;28.6;28.4;;;;1.0;-1.9284;-1.2155;121.0;Sud;humide;Sec
20;121.0;;20.4;25.2;27.7;1.0;0.0;0.0;;-0.5209;1.0261;146.0;;humide;Sec
21;146.0;;;;;;0.0;0.0;2.9544;6.5778;;121.0;Est;humide;Sec
23;108.0;;24.0;23.5;;4.0;4.0;0.0;-2.5712;-3.8567;-4.6985;146.0;Sud;humide;Sec
24;83.0;;19.7;22.9;24.8;;;;-2.5981;;;;Ouest;humide;Sec
25;;;;;;;;;-5.6382;-3.8302;-4.5963;83.0;Ouest;humide;Pluie
26;81.0;650.0;;;;3.0;4.0;4.0;-1.9284;-2.5712;-4.3301;57.0;Sud;humide;Sec
27;67.0;650.0;;23.4;23.7;;;;-1.5321;-3.0642;-0.8682;81.0;Ouest;humide;Sec
28;70.0;650.0;;;;5.0;2.0;1.0;0.684;0.0;1.3681;67.0;Nord;humide;Sec
29;106.0;650.0;;;;;0.0;1.0;2.8191;3.9392;3.4641;70.0;Est;humide;Sec
30;139.0;650.0;;30.1;31.9;;1.0;4.0;1.8794;2.0;1.3681;106.0;Sud;humide;Sec
31;79.0;650.0;;;;;;;0.6946;-0.866;-1.0261;139.0;Ouest;humide;Sec
32;;650.0;16.8;18.2;22.0;8.0;8.0;6.0;0.0;0.0;1.2856;79.0;Sud;humide;Pluie
33;;650.0;20.8;;;;3.0;4.0;0.0;1.7101;;93.0;Nord;humide;Sec
34;113.0;650.0;;18.2;22.7;;;;-3.7588;-3.9392;-4.6985;97.0;Ouest;humide;Pluie
35;72.0;650.0;;21.2;23.9;7.0;;4.0;-2.5981;-3.9392;-3.7588;113.0;Ouest;humide;Pluie
36;88.0;650.0;19.2;22.0;;;;;-1.9696;-3.0642;-4.0;72.0;Ouest;humide;Sec
37;77.0;;19.4;20.7;22.5;7.0;8.0;;;-5.6382;-9.0;88.0;Ouest;humide;Sec
38;71.0;;19.2;21.0;22.4;6.0;4.0;6.0;-7.8785;-6.8937;-6.8937;77.0;Ouest;humide;Sec
39;56.0;;13.8;;18.5;8.0;8.0;6.0;1.5;-3.8302;-2.0521;71.0;Ouest;humide;Pluie
42;45.0;;;14.5;15.2;8.0;;8.0;0.684;4.0;;;Est;humide;Pluie
43;67.0;;15.6;18.6;;5.0;;5.0;-3.2139;;;45.0;Ouest;humide;Pluie
44;;;16.9;19.1;;5.0;;6.0;-2.2981;-3.7588;0.0;67.0;Ouest;humide;Pluie
45;84.0;;17.4;20.4;;3.0;;6.0;0.0;;-2.5981;67.0;Sud;humide;Sec
46;63.0;;;20.5;20.6;8.0;6.0;6.0;2.0;-5.3623;-6.1284;84.0;Ouest;humide;Pluie
47;;;;15.6;;;8.0;;;-3.8302;-4.3301;63.0;Ouest;humide;Pluie
48;92.0;;16.7;19.1;19.3;7.0;6.0;4.0;-2.0521;-4.4995;-2.7362;69.0;Nord;humide;Sec
49;88.0;;;20.3;;;;;;-3.4641;;92.0;Ouest;humide;Pluie
50;66.0;;18.0;;;8.0;6.0;5.0;-3.0;-3.5;;88.0;Sud;humide;Sec
51;72.0;;18.6;21.9;23.6;4.0;7.0;6.0;;-1.9696;;66.0;Ouest;humide;Sec
52;81.0;;18.8;22.5;23.9;6.0;3.0;2.0;0.5209;-1.0;-2.0;;Nord;humide;Sec
53;;;19.0;22.5;24.1;;;;;-1.0261;0.5209;81.0;Nord;humide;Sec
54;149.0;;19.9;26.9;29.0;3.0;4.0;;;-0.9397;-0.6428;83.0;Ouest;humide;Sec
55;153.0;0.0;;;;1.0;;4.0;0.9397;1.5;;149.0;Nord;humide;Sec
56;159.0;0.0;24.0;28.3;26.5;2.0;;7.0;-0.342;1.2856;-2.0;;Nord;humide;Sec
57;149.0;0.0;23.3;27.6;28.8;4.0;;3.0;0.866;-1.5321;-0.1736;159.0;Ouest;humide;Sec
58;160.0;0.0;;;;;;;1.5321;;;149.0;Sud;humide;Sec
59;156.0;0.0;24.9;30.5;32.2;0.0;1.0;4.0;-0.5;-1.8794;-1.2856;160.0;Ouest;humide;Sec
60;84.0;0.0;;26.3;27.8;;;2.0;-1.3681;;0.0;156.0;Nord;humide;Sec
61;126.0;0.0;25.3;29.5;31.2;;4.0;4.0;3.0;3.7588;;84.0;Est;humide;Sec
